name,email,phone,website,address,city,country,country_code,category,type,notes,aum,aum_date,tier,pipeline_stage,priority,aum_source
"BlackRock Investment Management (Luxembourg) S.A.",,,"www.blackrock.com","35A avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B00000 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1988-01-15","9500000","2024-12-31","Tier 1","lead","HIGH","Estimé - À vérifier"
"Vanguard Group (Ireland) Limited, Luxembourg Branch",,,"www.vanguard.com","2 boulevard de la Foire","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B215701 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2012-09-10","8500000","2024-12-31","Tier 1","lead","HIGH","Estimé - À vérifier"
"State Street Global Advisors Europe Limited",,,"www.ssga.com","49 avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B81543 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2005-08-22","4200000","2024-12-31","Tier 1","lead","HIGH","Estimé - À vérifier"
"J.P. Morgan Asset Management (Europe) S.à r.l.",,,"www.jpmorganassetmanagement.lu","6 route de Trèves","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B27900 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1995-07-01","2800000","2024-12-31","Tier 1","lead","HIGH","Estimé - À vérifier"
"Capital Group Luxembourg Branch",,,"www.capitalgroup.com","37A avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B169524 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2010-03-25","2600000","2024-12-31","Tier 1","lead","HIGH","Estimé - À vérifier"
"Goldman Sachs Asset Management Fund Services Limited",,,"www.gsam.com","16 avenue Pasteur","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B48436 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2000-06-20","2400000","2024-12-31","Tier 1","lead","HIGH","Estimé - À vérifier"
"Amundi Luxembourg S.A.",,,"www.amundi.lu","5 allée Scheffer","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B25552 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1990-03-20","2100000","2024-12-31","Tier 1","lead","HIGH","Estimé - À vérifier"
"PIMCO Europe Ltd, Luxembourg Branch",,,"www.pimco.com","5 rue Plaetis","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B138865 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2009-07-15","1900000","2024-12-31","Tier 1","lead","MEDIUM","Estimé - À vérifier"
"Invesco Management S.A.",,,"www.invesco.lu","37A avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B34726 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1998-10-30","1600000","2024-12-31","Tier 1","lead","MEDIUM","Estimé - À vérifier"
"Legal & General Investment Management Limited, Luxembourg Branch",,,"www.lgim.com","2 avenue Charles de Gaulle","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B186789 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2011-04-07","1500000","2024-12-31","Tier 1","lead","MEDIUM","Estimé - À vérifier"
"Franklin Templeton International Services S.à r.l.",,,"www.franklintempleton.lu","8A rue Albert Borschette","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B36979 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1998-04-22","1500000","2024-12-31","Tier 1","lead","MEDIUM","Estimé - À vérifier"
"T. Rowe Price (Luxembourg) Management S.à r.l.",,,"www.troweprice.com","2 rue Albert Borschette","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B124525 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2008-11-12","1400000","2024-12-31","Tier 1","lead","MEDIUM","Estimé - À vérifier"
"Northern Trust Global Investments Limited, Luxembourg Branch",,,"www.northerntrust.com","6 rue Lou Hemmer","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B142520 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2009-10-19","1300000","2024-12-31","Tier 1","lead","MEDIUM","Estimé - À vérifier"
"UBS Fund Management (Luxembourg) S.A.",,,"www.ubs.com","33A avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B36822 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1997-09-15","1200000","2024-12-31","Tier 1","lead","MEDIUM","Estimé - À vérifier"
"Wellington Management Company LLP, Luxembourg Branch",,,"www.wellington.com","33A avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B198596 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2011-12-05","1200000","2024-12-31","Tier 1","lead","MEDIUM","Estimé - À vérifier"
"Natixis Investment Managers Luxembourg S.A.",,,"www.im.natixis.com","2 rue Jean Monnet","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B115349 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2008-02-28","1100000","2024-12-31","Tier 1","lead","MEDIUM","Estimé - À vérifier"
"DWS Investment S.A.",,,"www.dws.com","2 boulevard Konrad Adenauer","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B14264 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1992-05-10","902000","2024-12-31","Tier 1","lead","MEDIUM","Estimé - À vérifier"
"AXA Investment Managers Luxembourg",,,"www.axa-im.com","49 avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B45447 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2001-02-14","850000","2024-12-31","Tier 1","lead","LOW","Estimé - À vérifier"
"Schroders Investment Management (Luxembourg) S.A.",,,"www.schroders.com","5 rue Höhenhof","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B37647 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1998-06-08","800000","2024-12-31","Tier 1","lead","LOW","Estimé - À vérifier"
"Fidelity International",,,"www.fidelityinternational.com","2a rue Albert Borschette","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B88635 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2007-05-18","755000","2024-12-31","Tier 1","lead","LOW","Estimé - À vérifier"
"Aberdeen Standard Investments Luxembourg S.A.",,,"www.aberdeenstandard.com","35A avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B120028 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2008-06-23","650000","2024-12-31","Tier 1","lead","LOW","Estimé - À vérifier"
"Allianz Global Investors GmbH, Luxembourg Branch",,,"www.allianzgi.com","6B route de Trèves","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B88119 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1999-04-12","639000","2024-12-31","Tier 1","lead","LOW","Estimé - À vérifier"
"BNP Paribas Asset Management Luxembourg",,,"www.bnpparibas-am.lu","33 rue de Gasperich","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B26056 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1993-11-05","578000","2024-12-31","Tier 1","lead","LOW","Estimé - À vérifier"
"M&G Luxembourg S.A.",,,"www.mandg.com","16 boulevard Royal","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B228714 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 2014-01-20","380000","2024-12-31","Tier 1","lead","LOW","Estimé - À vérifier"
"Pictet Asset Management (Europe) S.A.",,,"www.pictet.com","15 avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B32060 | Entity Type: UCITS Management Company | Status: Active | Registration Date: 1998-03-10","240000","2024-12-31","Tier 1","lead","LOW","Estimé - À vérifier"
