name,email,phone,website,address,city,country,country_code,category,type,notes,aum,aum_date,tier,pipeline_stage,priority,aum_source
AXA Investment Managers,service.informationclient@axa.fr,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,850000,2024-12-31,Tier 1,Prospect,High,Public data
Abu Dhabi Investment Authority,Contact@tamm.abudhabi,,,,Luxembourg,Luxembourg,LU,Luxembourg AIFM - Institutional,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
Allianz Global Investors,Info-Lux@allianzgi.com,+352 463 463 - 1,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,640000,2024-12-31,Tier 1,Prospect,High,Public data
Amundi,info@amundibond.com,+352 26 86 8000,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,2100000,2024-12-31,Tier 1,Prospect,High,Public data
BNP Paribas Asset Management,,+352 26 46 30 01,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,600000,2024-12-31,Tier 1,Prospect,High,Public data
BlackRock,belux@blackrock.com,+352 34 20 10 4201,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,10000000,2024-12-31,Tier 1,Prospect,High,Public data
CPP Investment Board,contact@cppib.com,,,,Luxembourg,Luxembourg,LU,Luxembourg AIFM - Institutional,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
Caisse de dépôt et placement du Québec,info@espacecdpq.com,,,,Luxembourg,Luxembourg,LU,Luxembourg AIFM - Institutional,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
Capital Group,contact@ccg.lu,+352 27 17 6237,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,2500000,2024-12-31,Tier 1,Prospect,High,Public data
China Investment Corporation,empty-light@2x.png,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
