name,email,phone,website,address,city,country,country_code,category,type,notes,aum,aum_date,tier,pipeline_stage,priority,aum_source
AXA Investment Managers,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,850000,2024-12-31,Tier 1,Prospect,High,Public data
Abu Dhabi Investment Authority,,,,,Luxembourg,Luxembourg,LU,Luxembourg AIFM - Institutional,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
Allianz Global Investors,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,640000,2024-12-31,Tier 1,Prospect,High,Public data
Amundi,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,2100000,2024-12-31,Tier 1,Prospect,High,Public data
BNP Paribas Asset Management,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,600000,2024-12-31,Tier 1,Prospect,High,Public data
BlackRock,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,10000000,2024-12-31,Tier 1,Prospect,High,Public data
CPP Investment Board,,,,,Luxembourg,Luxembourg,LU,Luxembourg AIFM - Institutional,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
Caisse de dépôt et placement du Québec,,,,,Luxembourg,Luxembourg,LU,Luxembourg AIFM - Institutional,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
Capital Group,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,2500000,2024-12-31,Tier 1,Prospect,High,Public data
China Investment Corporation,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
Credit Suisse Asset Management,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,500000,2024-12-31,Tier 1,Prospect,High,Public data
Credit Suisse Funds AG,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
DWS,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,900000,2024-12-31,Tier 1,Prospect,High,Public data
Fidelity International,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,750000,2024-12-31,Tier 1,Prospect,High,Public data
Franklin Templeton,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,1500000,2024-12-31,Tier 1,Prospect,High,Public data
GIC Private Limited,,,,,Luxembourg,Luxembourg,LU,Luxembourg AIFM - Institutional,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
Generali Investments,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,700000,2024-12-31,Tier 1,Prospect,High,Public data
Generali Investments Partners,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,700000,2024-12-31,Tier 1,Prospect,High,Public data
Goldman Sachs Asset Management,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,2800000,2024-12-31,Tier 1,Prospect,High,Public data
HSBC Global Asset Management,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,650000,2024-12-31,Tier 1,Prospect,High,Public data
Intermediate Capital Group,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,2500000,2024-12-31,Tier 1,Prospect,High,Public data
Invesco,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,1600000,2024-12-31,Tier 1,Prospect,High,Public data
J.P. Morgan Asset Management,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,3000000,2024-12-31,Tier 1,Prospect,High,Public data
Kuwait Investment Authority,,,,,Luxembourg,Luxembourg,LU,Luxembourg AIFM - Institutional,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
Legal & General Investment Management,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,1500000,2024-12-31,Tier 1,Prospect,High,Public data
Natixis Investment Managers,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,1200000,2024-12-31,Tier 1,Prospect,High,Public data
Northern Trust Asset Management,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,1200000,2024-12-31,Tier 1,Prospect,High,Public data
Ontario Teachers' Pension Plan,,,,,Luxembourg,Luxembourg,LU,Luxembourg AIFM - Institutional,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
PIMCO,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,2000000,2024-12-31,Tier 1,Prospect,High,Public data
Prudential,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
State Street Global Advisors,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,4200000,2024-12-31,Tier 1,Prospect,High,Public data
T. Rowe Price,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,1400000,2024-12-31,Tier 1,Prospect,High,Public data
Temasek Holdings,,,,,Luxembourg,Luxembourg,LU,Luxembourg AIFM - Institutional,Société de gestion,Extracted from ALFI member directory,,,Tier 1,Prospect,High,
UBS Asset Management,,,,,Luxembourg,Luxembourg,LU,Luxembourg UCITS Management Company,Société de gestion,Extracted from ALFI member directory,1200000,2024-12-31,Tier 1,Prospect,High,Public data
