name,email,phone,website,address,city,country,country_code,category,type,notes,aum,aum_date,tier,pipeline_stage,priority,aum_source
"BlackRock Investment Management (Luxembourg) S.A.",,,"www.blackrock.com","35A avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B00000 | Entity Type: UCITS Management Company | Status: Active","9500000","2024-12-31","Tier 1","lead","HIGH","Estimé"
"Vanguard Group (Ireland) Limited, Luxembourg Branch",,,"www.vanguard.com","2 boulevard de la Foire","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B215701 | Entity Type: UCITS Management Company | Status: Active","8500000","2024-12-31","Tier 1","lead","HIGH","Estimé"
"State Street Global Advisors Europe Limited",,,"www.ssga.com","49 avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B81543 | Entity Type: UCITS Management Company | Status: Active","4200000","2024-12-31","Tier 1","lead","HIGH","Estimé"
"J.P. Morgan Asset Management (Europe) S.à r.l.",,,"www.jpmorganassetmanagement.lu","6 route de Trèves","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B27900 | Entity Type: UCITS Management Company | Status: Active","2800000","2024-12-31","Tier 1","lead","HIGH","Estimé"
"Capital Group Luxembourg Branch",,,"www.capitalgroup.com","37A avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B169524 | Entity Type: UCITS Management Company | Status: Active","2600000","2024-12-31","Tier 1","lead","HIGH","Estimé"
"Goldman Sachs Asset Management Fund Services Limited",,,"www.gsam.com","16 avenue Pasteur","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B48436 | Entity Type: UCITS Management Company | Status: Active","2400000","2024-12-31","Tier 1","lead","HIGH","Estimé"
"Amundi Luxembourg S.A.",,,"www.amundi.lu","5 allée Scheffer","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B25552 | Entity Type: UCITS Management Company | Status: Active","2100000","2024-12-31","Tier 1","lead","HIGH","Estimé"
"PIMCO Europe Ltd, Luxembourg Branch",,,"www.pimco.com","5 rue Plaetis","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B138865 | Entity Type: UCITS Management Company | Status: Active","1900000","2024-12-31","Tier 1","lead","MEDIUM","Estimé"
"Invesco Management S.A.",,,"www.invesco.lu","37A avenue J.F. Kennedy","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B34726 | Entity Type: UCITS Management Company | Status: Active","1600000","2024-12-31","Tier 1","lead","MEDIUM","Estimé"
"Legal & General Investment Management Limited, Luxembourg Branch",,,"www.lgim.com","2 avenue Charles de Gaulle","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B186789 | Entity Type: UCITS Management Company | Status: Active","1500000","2024-12-31","Tier 1","lead","MEDIUM","Estimé"
"Franklin Templeton International Services S.à r.l.",,,"www.franklintempleton.lu","8A rue Albert Borschette","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B36979 | Entity Type: UCITS Management Company | Status: Active","1500000","2024-12-31","Tier 1","lead","MEDIUM","Estimé"
"T. Rowe Price (Luxembourg) Management S.à r.l.",,,"www.troweprice.com","2 rue Albert Borschette","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B124525 | Entity Type: UCITS Management Company | Status: Active","1400000","2024-12-31","Tier 1","lead","MEDIUM","Estimé"
"Northern Trust Global Investments Limited, Luxembourg Branch",,,"www.northerntrust.com","6 rue Lou Hemmer","Luxembourg","Luxembourg","LU","Luxembourg Asset Manager","fournisseur","CSSF Registration: B142520 | Entity Type: UCITS Management Company | Status: Active","1300000","2024-12-31","Tier 1","lead","MEDIUM","Estimé"
