name,email,phone,website,address,city,country,country_code,category,type,notes,aum,aum_date,tier,pipeline_stage,priority,aum_source
ETXEA CAPITAL,,,www.etxeacapital.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | LEI: 969500IISULSKD55KQ70,5.00,2024-12-31,Tier 1,lead,LOW,scraped
INCO VENTURES,,+033 1 85 73 62 56,www.inco.co.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 84464957400010 | LEI: 969500BZXZGGXIVML935,2.00,2024-12-31,Tier 1,lead,LOW,scraped
LAZARD FRERES GESTION,,0144130111,,,,France,FR,SDG,fournisseur,AUM: 41.5 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 35221359900025 | LEI: 969500X727PNIAL33P77,41.5,2024-12-31,Tier 1,qualified,HIGH,
AMUNDI ASSET MANAGEMENT,,0176333030,,,,France,FR,SDG,fournisseur,AUM: 2240.0 Md€ | Forme juridique: Société par actions simplifiée | LEI: DQ2T0MMUTO0IPF9G9Z35,2240.0,2024-12-31,Tier 1,qualified,HIGH,
MANDARINE GESTION,,0153402020,http://www.mandarine-gestion.com,,,France,FR,SDG,fournisseur,AUM: 6.0 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 50122120400016 | LEI: 969500EWBJ0A1W6UTO35,6.0,2024-12-31,Tier 1,qualified,HIGH,
RGREEN INVEST SAS,,,www.rgreen.fr,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 79782799500029 | LEI: 969500W4RH498UUOLF61,2.60,2024-12-31,Tier 1,lead,LOW,scraped
TRUSTEAM FINANCE,,0142964030,www.trusteam.fr,,,France,FR,SDG,fournisseur,AUM: 1.2 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 43363414400052 | LEI: 9695003RN4OMRE98EP84,1.2,2024-12-31,Tier 1,qualified,HIGH,
MY SHARE COMPANY,,,www.mysharecompany.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 83404588200026 | LEI: 969500WWOSWHC3ANC011,2.00,2024-12-31,Tier 1,lead,LOW,scraped
ALTAROC PARTNERS SAS,,0181729700,https://www.altaroc.pe/,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 30904484000051 | LEI: 969500H26Q52060R5J89,4.40,2024-12-31,Tier 1,lead,LOW,scraped
RICHELIEU INVEST,,0142890000,www.richelieuinvest.com,,,France,FR,SDG,fournisseur,AUM: 2.0 Md€ | Forme juridique: Société anonyme | SIRET: 31751719100076 | LEI: 969500ZKXE1NM0UBUP47,2.0,2024-12-31,Tier 1,qualified,HIGH,
1 2 3 INVESTMENT MANAGERS,,0149269800,http://www.123-im.com,,,France,FR,SDG,fournisseur,Forme juridique: Société anonyme | LEI: 969500FCL62N0Y9Z0Y08,2.50,2024-12-31,Tier 1,lead,LOW,scraped
IVO CAPITAL PARTNERS,,,,,,France,FR,SDG,fournisseur,AUM: 1.6 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 75310743200035 | LEI: 9695001347FT1CMYYU26,1.6,2024-12-31,Tier 1,qualified,HIGH,
CONQUEST ADVISORS FRANCE,,,www.conquest.group,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | LEI: 969500F9V6N9LVIUYI05,6.00,2024-12-31,Tier 1,lead,LOW,scraped
KYOSEIL ASSET MANAGEMENT,,0442522690,www.cpgfinance.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 42468693900010 | LEI: 969500GROWRCIDJQAZ27,7.00,2024-12-31,Tier 1,lead,LOW,scraped
