name,aum,phone,website
idiCo,1.00,,www.idico.fr
RE-SOURCES CAPITAL,1.00,,www.re-sources-capital.fr
ZENITH AM,1.00,0180980050,www.zenith-am.com
MONETA ASSET MANAGEMENT,1.0,0158625330,www.moneta.fr
OUEST CROISSANCE GESTION,1.00,,https://www.ouest-croissance.com/
EQUIGEST,1.00,0143126100,www.equigest.fr
UNIGESTION ASSET MANAGEMENT (FRANCE),1.00,0143597373,www.unigestion.com
JUNE REIM,1.00,,https://june-reim.fr
SLATE Venture Capital,1.00,,https://www.slate.vc/
I&P,1.00,01 58 18 57 10,www.ietp.com
CLARTAN ASSOCIES,0.85,0153776080,www.clartan.com
UI INVESTISSEMENT,1.00,01 42 56 66 00,www.ui-investissement.com
HUGAU GESTION,1.00,0178098320,http://www.hugau-gestion.com/
MONTSEGUR FINANCE,0.85,0156434370,http://www.montsegurfinance.com
ACER FINANCE,1.00,0144550210,www.lb-af.com
ARGOS WITYU,1.00,0153672050,https://argos.wityu.fund
FIL GESTION,1.0,0173043553,fidelity.fr
EQUALIS CAPITAL FRANCE,0.65,0180491070,www.equaliscapital.com
SOFINNOVA PARTNERS,1.00,01 76 23 41 00,www.sofinnovapartners.com
ESSLING CAPITAL,0.65,0140602230,www.esslingcapital.com
MBO+,1.00,0156641700,www.mbo.plus
ENTREPRENEUR INVEST,0.8,0158186180,www.entrepreneurventure.com
IXO PRIVATE EQUITY,1.00,0534417418,www.ixope.fr
ANGELOR,1.00,,https://angelor.fr/
NORMANDIE REIM,0.95,01 58 56 22 44,www.normandie-reim.com
