name,email,phone,website,address,city,country,country_code,category,type,notes,aum,aum_date,tier,pipeline_stage,priority
IVO CAPITAL PARTNERS,,,,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 1.6 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 75310743200035 | LEI: 9695001347FT1CMYYU26,1.6,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
AMIRAL GESTION,,0147207818,www.amiralgestion.fr,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 3.5 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 44522409000016 | LEI: 969500797CYN8EAVWA69,3.5,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
EIFFEL INVESTMENT GROUP,,0139543567,,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 6.8 Md€ | Forme juridique: Société par actions simplifiée | LEI: 549300PBLPGO5HHRXL63,6.8,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
ERES GESTION,,01.49.70.98.88,www.eres-gestion.com,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 6.7 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 49350475700011 | LEI: 96950007E0G0C3N98D53,6.7,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
PALATINE ASSET MANAGEMENT,,0155279606,www.palatine-am.com,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 5.8 Md€ | Forme juridique: Société anonyme à Conseil d'Administration | SIRET: 95034088500025 | LEI: 9695000QMU1H848E3Q66,5.8,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
ECOFI INVESTISSEMENTS,,01 44 88 39 24,www.ecofi.fr,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 8.2 Md€ | Forme juridique: Société anonyme | SIRET: 99999036900087 | LEI: 969500Y51OCOYMD5F464,8.2,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
SYCOMORE ASSET MANAGEMENT,,0144401612,www.sycomore-am.com,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 7.8 Md€ | Forme juridique: Société anonyme à Conseil d'Administration | SIRET: 43823010400046 | LEI: 9695006BRVMTPTUB1R68,7.8,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
AURIS GESTION,,0142258340,,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 4.3 Md€ | Forme juridique: Société Anonyme à Directoire | SIRET: 47978977800012 | LEI: 969500ZO1N6L8K3WIE40,4.3,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
FINANCIERE DE L'ECHIQUIER,,0147239090,www.lfde.com,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 9.5 Md€ | Forme juridique: Société anonyme | SIRET: 35204545400035 | LEI: 9695009FIABOZ346XE79,9.5,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
COVEA FINANCE,,0140065150,www.covea-finance.fr,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 7.5 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 40762560700020 | LEI: 969500T2ER13UUWFNJ46,7.5,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
ANAXIS ASSET MANAGEMENT,,09 73 87 13 21,www.anaxiscapital.com,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 2.8 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 52345535000026 | LEI: 9695005VR5O4WBJDM975,2.8,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
ELLIPSIS ASSET MANAGEMENT,,01 78 41 55 00,www.ellipsis-am.com,,,France,FR,SDG,fournisseur,⭐ CIBLE PRIORITAIRE | AUM: 4.4 Md€ | Forme juridique: Société anonyme | SIRET: 50486873800023 | LEI: 969500DEKQHM09GPQM16,4.4,2024-12-31,Tier 3 (⭐ CIBLE),qualified,HIGH
