name,aum,phone,website
ETXEA CAPITAL,5.00,,www.etxeacapital.com
INCO VENTURES,2.00,+033 1 85 73 62 56,www.inco.co.com
LAZARD FRERES GESTION,41.5,0144130111,
AMUNDI ASSET MANAGEMENT,2240.0,0176333030,
MANDARINE GESTION,6.0,0153402020,http://www.mandarine-gestion.com
RGREEN INVEST SAS,2.60,,www.rgreen.fr
TRUSTEAM FINANCE,1.2,0142964030,www.trusteam.fr
MY SHARE COMPANY,2.00,,www.mysharecompany.com
ALTAROC PARTNERS SAS,4.40,0181729700,https://www.altaroc.pe/
RICHELIEU INVEST,2.0,0142890000,www.richelieuinvest.com
1 2 3 INVESTMENT MANAGERS,2.50,0149269800,http://www.123-im.com
IVO CAPITAL PARTNERS,1.6,,
CONQUEST ADVISORS FRANCE,6.00,,www.conquest.group
KYOSEIL ASSET MANAGEMENT,7.00,0442522690,www.cpgfinance.com
OFI INVEST REAL ESTATE (SGP),4.20,,https://www.ofi-invest-re.com/sgp/
ADVENIS  REAL ESTATE INVESTMENT MANAGEMENT,8.00,01 70 16 95 71,www.advenis-reim.com
AMIRAL GESTION,3.5,0147207818,www.amiralgestion.fr
SYQUANT CAPITAL,3.50,(01) 42 56 56 23,www.syquant-capital.fr
LATOUR CAPITAL MANAGEMENT SAS,4.00,+33 1 40 62 30 12,http://www.latour-capital.fr/
HSBC REIM ( FRANCE ),731.00,0140702135,www.hsbc-reim.fr
TILT CAPITAL PARTNERS,3.70,,https://www.tilt-capital.com/
NIXEN PARTNERS,2.00,0175774600,www.nixen.com
Noteus Partners,47.00,,www.noteus.com
Ouest Rebond,6.00,,www.breizh-rebond.fr
TRUFFLE CAPITAL S.A.S,1.20,01 47 20 12 02,www.truffle.com
CARTESIA,12.00,01 56 43 40 03,www.cartesiafinance.com
CEREA PARTNERS,1.50,0183751600,www.cerea.com
ACA - ASSET MANAGEMENT COMPANY & ASSOCIES,2.00,01 76 62 35 39,www.aca-gestion.com
EIFFEL INVESTMENT GROUP,6.8,0139543567,
21 INVEST FRANCE,12.00,0156883300,www.21invest.com
IQ EQ Management,750.00,0180279999,https://iqeq.fr/
NCI,2025.00,0232186302,n-ci.com
IM GLOBAL PARTNER,43.8,0188407500,www.imgp.com
SOCIETE DE GESTION PREVOIR,4.00,01 53 20 32 90,http://www.sgprevoir.fr/
PERIAL ASSET MANAGEMENT SAS,41.00,01 56 43 11 00,https://www.perial.com/
MIROVA,35.0,0178408736,http://www.mirova.com/fr
ERES GESTION,6.7,01.49.70.98.88,www.eres-gestion.com
WHITE STAR CAPITAL FRANCE SAS,2.00,+33 (0) 7 7195 2025,www.whitestarcapital.com
BNP PARIBAS REAL ESTATE INVESTMENT MANAGEMENT FRANCE,45.00,01 55 65 23 83,www.reim.bnpparibas.fr
AEQUAM CAPITAL,11.00,0173019374,https://kanopy-am.com/
INVESTED PARTNERS,4.00,,https://www.investedpartners.org/
MW GESTION,2.00,0142865445,mwgestion.com
ARLANE,4.00,,www.arlane.com
PALATINE ASSET MANAGEMENT,5.8,0155279606,www.palatine-am.com
INOVALIS,7.00,01 56 43 33 23,www.inovalis.com
MONTPENSIER ARBEVEL,5.00,0145055555,www.montpensier-arbevel.com/
AXA IM SELECT FRANCE,35.00,,https://select.axa-im.fr
DNCA FINANCE,26.3,0158625500,www.dnca-investments.com
FundPartner AM,6.00,,www.fundpartner.eu
ECOFI INVESTISSEMENTS,8.2,01 44 88 39 24,www.ecofi.fr
SYCOMORE ASSET MANAGEMENT,7.8,0144401612,www.sycomore-am.com
F&A ASSET MANAGEMENT,50.00,,https://fa-am.com/
