name,address,city,postal_code,website,registration_number,entity_type,status,registration_date,contacts
"BlackRock Investment Management (Luxembourg) S.A.","35A avenue J.F. Kennedy","Luxembourg","L-1855","www.blackrock.com","B00000","UCITS Management Company","Active","1988-01-15","[]"
"Amundi Luxembourg S.A.","5 allée Scheffer","Luxembourg","L-2520","www.amundi.lu","B25552","UCITS Management Company","Active","1990-03-20","[]"
"DWS Investment S.A.","2 boulevard Konrad Adenauer","Luxembourg","L-1115","www.dws.com","B14264","UCITS Management Company","Active","1992-05-10","[]"
"J.P. Morgan Asset Management (Europe) S.à r.l.","6 route de Trèves","Luxembourg","L-2633","www.jpmorganassetmanagement.lu","B27900","UCITS Management Company","Active","1995-07-01","[]"
"UBS Fund Management (Luxembourg) S.A.","33A avenue J.F. Kennedy","Luxembourg","L-1855","www.ubs.com","B36822","UCITS Management Company","Active","1997-09-15","[]"
"Allianz Global Investors GmbH, Luxembourg Branch","6B route de Trèves","Luxembourg","L-2633","www.allianzgi.com","B88119","UCITS Management Company","Active","1999-04-12","[]"
"Goldman Sachs Asset Management Fund Services Limited","16 avenue Pasteur","Luxembourg","L-2310","www.gsam.com","B48436","UCITS Management Company","Active","2000-06-20","[]"
"Pictet Asset Management (Europe) S.A.","15 avenue J.F. Kennedy","Luxembourg","L-1855","www.pictet.com","B32060","UCITS Management Company","Active","1998-03-10","[]"
"BNP Paribas Asset Management Luxembourg","33 rue de Gasperich","Luxembourg","L-5826","www.bnpparibas-am.lu","B26056","UCITS Management Company","Active","1993-11-05","[]"
"AXA Investment Managers Luxembourg","49 avenue J.F. Kennedy","Luxembourg","L-1855","www.axa-im.com","B45447","UCITS Management Company","Active","2001-02-14","[]"
"State Street Global Advisors Europe Limited","49 avenue J.F. Kennedy","Luxembourg","L-1855","www.ssga.com","B81543","UCITS Management Company","Active","2005-08-22","[]"
"Fidelity International","2a rue Albert Borschette","Luxembourg","L-1246","www.fidelityinternational.com","B88635","UCITS Management Company","Active","2007-05-18","[]"
"Vanguard Group (Ireland) Limited, Luxembourg Branch","2 boulevard de la Foire","Luxembourg","L-1528","www.vanguard.com","B215701","UCITS Management Company","Active","2012-09-10","[]"
"Capital Group Luxembourg Branch","37A avenue J.F. Kennedy","Luxembourg","L-1855","www.capitalgroup.com","B169524","UCITS Management Company","Active","2010-03-25","[]"
"Invesco Management S.A.","37A avenue J.F. Kennedy","Luxembourg","L-1855","www.invesco.lu","B34726","UCITS Management Company","Active","1998-10-30","[]"
"PIMCO Europe Ltd, Luxembourg Branch","5 rue Plaetis","Luxembourg","L-2338","www.pimco.com","B138865","UCITS Management Company","Active","2009-07-15","[]"
"Franklin Templeton International Services S.à r.l.","8A rue Albert Borschette","Luxembourg","L-1246","www.franklintempleton.lu","B36979","UCITS Management Company","Active","1998-04-22","[]"
"T. Rowe Price (Luxembourg) Management S.à r.l.","2 rue Albert Borschette","Luxembourg","L-1246","www.troweprice.com","B124525","UCITS Management Company","Active","2008-11-12","[]"
"Schroders Investment Management (Luxembourg) S.A.","5 rue Höhenhof","Luxembourg","L-1736","www.schroders.com","B37647","UCITS Management Company","Active","1998-06-08","[]"
"Wellington Management Company LLP, Luxembourg Branch","33A avenue J.F. Kennedy","Luxembourg","L-1855","www.wellington.com","B198596","UCITS Management Company","Active","2011-12-05","[]"
"Natixis Investment Managers Luxembourg S.A.","2 rue Jean Monnet","Luxembourg","L-2180","www.im.natixis.com","B115349","UCITS Management Company","Active","2008-02-28","[]"
"Northern Trust Global Investments Limited, Luxembourg Branch","6 rue Lou Hemmer","Luxembourg","L-1748","www.northerntrust.com","B142520","UCITS Management Company","Active","2009-10-19","[]"
"Legal & General Investment Management Limited, Luxembourg Branch","2 avenue Charles de Gaulle","Luxembourg","L-1653","www.lgim.com","B186789","UCITS Management Company","Active","2011-04-07","[]"
"Aberdeen Standard Investments Luxembourg S.A.","35A avenue J.F. Kennedy","Luxembourg","L-1855","www.aberdeenstandard.com","B120028","UCITS Management Company","Active","2008-06-23","[]"
"M&G Luxembourg S.A.","16 boulevard Royal","Luxembourg","L-2449","www.mandg.com","B228714","UCITS Management Company","Active","2014-01-20","[]"
