ID_TYPE_ENTITE	ID_ENTITE 	NOM_COURRIER                                                                              	ID_STATUT_SURV
--------------	----------	------------------------------------------------------------------------------------------	--------------
S             	       101	GS&P KAPITALANLAGEGESELLSCHAFT S.A.                                                       	C15           
S             	       112	BNY MELLON FUND MANAGEMENT (LUXEMBOURG) S.A.                                              	C15           
S             	       113	EURIZON CAPITAL S.A.                                                                      	C15           
S             	       117	MC SQUARE S.A.                                                                            	C15           
S             	       120	CI FUND SERVICES S.A.                                                                     	C15           
S             	       130	ERSEL GESTION INTERNATIONALE S.A.                                                         	C15           
S             	       174	T. ROWE PRICE (LUXEMBOURG) MANAGEMENT S.A R.L.                                            	C15           
S             	       178	BLACKROCK FUND MANAGEMENT COMPANY S.A.                                                    	C16           
S             	       234	BAYERNINVEST LUXEMBOURG S.A.                                                              	C15           
S             	       246	ALLIANCEBERNSTEIN (LUXEMBOURG) S.A R.L.                                                   	C15           
S             	       268	CAPITAL INTERNATIONAL MANAGEMENT COMPANY                                                  	C15           
S             	       273	HANSAINVEST LUX S.A.                                                                      	C16           
S             	       300	CAIXABANK ASSET MANAGEMENT LUXEMBOURG, S.A.                                               	C15           
S             	       306	WELLINGTON LUXEMBOURG S.A R.L.                                                            	C15           
S             	       333	MUFG LUX MANAGEMENT COMPANY S.A.                                                          	C15           
S             	       337	GLOBAL FUNDS MANAGEMENT S.A.                                                              	C15           
S             	       342	PICTET ASSET MANAGEMENT (EUROPE) S.A.                                                     	C15           
S             	       353	ÖKOWORLD LUX S.A.                                                                         	C15           
S             	       356	QUINT:ESSENCE CAPITAL S.A.                                                                	C15           
S             	       360	C WORLDWIDE FUND MANAGEMENT S.A.                                                          	C15           
S             	       363	HAUCK & AUFHÄUSER FUND SERVICES S.A.                                                      	C15           
S             	       364	SMBC NIKKO INVESTMENT FUND MANAGEMENT COMPANY S.A.                                        	C16           
S             	       366	JAPAN FUND MANAGEMENT (LUXEMBOURG) S.A.                                                   	C16           
S             	       370	ODDO BHF ASSET MANAGEMENT LUX                                                             	C15           
S             	       385	DWS INVESTMENT S.A.                                                                       	C15           
S             	       386	UNION INVESTMENT LUXEMBOURG S.A.                                                          	C15           
S             	       388	DEKA INTERNATIONAL S.A.                                                                   	C15           
S             	       404	SANTANDER ASSET MANAGEMENT LUXEMBOURG S.A.                                                	C15           
S             	       406	AMUNDI LUXEMBOURG S.A.                                                                    	C15           
S             	       410	AGALUX MANAGEMENT COMPANY S.A.                                                            	C16           
S             	       420	MORGAN STANLEY ASSET MANAGEMENT S.A.                                                      	C16           
S             	       427	SOCIÉTÉ GÉNÉRALE INVESTMENT SOLUTIONS (EUROPE)                                            	C15           
S             	       500	BLACKROCK (LUXEMBOURG) S.A.                                                               	C15           
S             	       504	NORD EST ASSET MANAGEMENT                                                                 	C15           
S             	       519	AZIMUT INVESTMENTS S.A.                                                                   	C15           
S             	       522	GERIFONDS (LUXEMBOURG) S.A.                                                               	C15           
S             	       526	UNIVERSAL-INVESTMENT-LUXEMBOURG S.A.                                                      	C15           
S             	       527	NORAMCO ASSET MANAGEMENT S.A.                                                             	C15           
S             	       533	MFS INVESTMENT MANAGEMENT COMPANY (LUX) S.A R.L.                                          	C15           
S             	       534	FEDERALE MANAGEMENT S.A.                                                                  	C16           
S             	       535	BTG PACTUAL EUROPE MANAGEMENT COMPANY S.A.                                                	C15           
S             	       552	PRADERA MANAGEMENT S.A R.L.                                                               	C16           
S             	       566	WWK INVESTMENT S.A.                                                                       	C15           
S             	       571	IPCONCEPT (LUXEMBURG) S.A.                                                                	C15           
S             	       572	AXXION S.A.                                                                               	C15           
S             	       592	BLUEBAY FUNDS MANAGEMENT COMPANY S.A.                                                     	C15           
S             	       593	FIL INVESTMENT MANAGEMENT (LUXEMBOURG) S.A R.L.                                           	C15           
S             	       598	DJE INVESTMENT S.A.                                                                       	C15           
S             	       604	EDMOND DE ROTHSCHILD ASSET MANAGEMENT (LUXEMBOURG)                                        	C15           
S             	       608	BNP PARIBAS ASSET MANAGEMENT LUXEMBOURG                                                   	C15           
S             	       615	SPUERKEESS ASSET MANAGEMENT                                                               	C15           
S             	       617	HSBC INVESTMENT FUNDS (LUXEMBOURG) S.A.                                                   	C15           
S             	       619	NUVEEN MANAGEMENT COMPANY (LUXEMBOURG) NO 1 SARL                                          	C16           
S             	       620	NORDEA INVESTMENT FUNDS S.A.                                                              	C15           
S             	       622	MULTICONCEPT FUND MANAGEMENT S.A.                                                         	C15           
S             	       625	INTER FUND MANAGEMENT S.A.                                                                	C16           
S             	       626	CANDRIAM                                                                                  	C15           
