name,aum,phone,website
AMUNDI ASSET MANAGEMENT,2240.0,0176333030,
NCI,2025.0,0232186302,n-ci.com
NCI,2025.0,0232186302,n-ci.com
IQ EQ Management,750.0,0180279999,https://iqeq.fr/
IQ EQ Management,750.0,0180279999,https://iqeq.fr/
HSBC REIM ( FRANCE ),731.0,0140702135,www.hsbc-reim.fr
HSBC REIM ( FRANCE ),731.0,0140702135,www.hsbc-reim.fr
KATKO CAPITAL,380.0,,www.katkocapital.com
KATKO CAPITAL,380.0,,www.katkocapital.com
AlTi Wealth Management (France),60.0,0156898336,https://alti-global.com/
AlTi Wealth Management (France),60.0,0156898336,https://alti-global.com/
F&A ASSET MANAGEMENT,50.0,,https://fa-am.com/
ARKEA REAL ESTATE INVESTMENT MANAGEMENT,50.0,,www.arkea-reim.com
F&A ASSET MANAGEMENT,50.0,,https://fa-am.com/
ARKEA REAL ESTATE INVESTMENT MANAGEMENT,50.0,,www.arkea-reim.com
Noteus Partners,47.0,,www.noteus.com
BNP PARIBAS REAL ESTATE INVESTMENT MANAGEMENT FRANCE,45.0,01 55 65 23 83,www.reim.bnpparibas.fr
BNP PARIBAS REAL ESTATE INVESTMENT MANAGEMENT FRANCE,45.0,01 55 65 23 83,www.reim.bnpparibas.fr
PRIVATE CORNER,44.0,+33622530690,www.private-corner.eu
PRIVATE CORNER,44.0,+33622530690,www.private-corner.eu
IM GLOBAL PARTNER,43.8,0188407500,www.imgp.com
LAZARD FRERES GESTION,41.5,0144130111,
PERIAL ASSET MANAGEMENT SAS,41.0,01 56 43 11 00,https://www.perial.com/
PERIAL ASSET MANAGEMENT SAS,41.0,01 56 43 11 00,https://www.perial.com/
DORVAL ASSET MANAGEMENT,40.0,,www.dorval-am.com
EDMOND DE ROTHSCHILD ASSET MANAGEMENT (FRANCE),40.0,0140172525,www.edmond-de-rothschild.com
OPTIGESTION,40.0,0173110000,http://www.optigestion.com/
DORVAL ASSET MANAGEMENT,40.0,,www.dorval-am.com
EDMOND DE ROTHSCHILD ASSET MANAGEMENT (FRANCE),40.0,0140172525,www.edmond-de-rothschild.com
OPTIGESTION,40.0,0173110000,http://www.optigestion.com/
ROTHSCHILD & CO ASSET MANAGEMENT,37.0,01 40 74 40 74,am.eu.rothschildandco.com
BNP PARIBAS ASSET MANAGEMENT Europe,35.7,0158972525,www.bnpparibas-am.fr
BNP PARIBAS ASSET MANAGEMENT Europe,35.7,0158972525,www.bnpparibas-am.fr
MIROVA,35.0,0178408736,http://www.mirova.com/fr
AXA IM SELECT FRANCE,35.0,,https://select.axa-im.fr
AXA IM SELECT FRANCE,35.0,,https://select.axa-im.fr
CARMIGNAC GESTION,33.9,0142865335,www.carmignac.com
GROUPAMA ASSET MANAGEMENT,32.7,0144567676,
BFT INVESTMENT MANAGERS,31.7,0176379090,www.bft-im.com
ARKEA ASSET MANAGEMENT,26.8,09.69.32.88.32,www.arkea-am.com
DNCA FINANCE,26.3,0158625500,www.dnca-investments.com
AEDGIS,20.0,,https://www.aedgis.com/
AEDGIS,20.0,,https://www.aedgis.com/
ELEVA CAPITAL,13.0,01 40 69 28 70,http://www.elevacapital.com
CARTESIA,12.0,01 56 43 40 03,www.cartesiafinance.com
21 INVEST FRANCE,12.0,0156883300,www.21invest.com
21 INVEST FRANCE,12.0,0156883300,www.21invest.com
AEQUAM CAPITAL,11.0,0173019374,https://kanopy-am.com/
AEQUAM CAPITAL,11.0,0173019374,https://kanopy-am.com/
LGT PRIVATE DEBT (FRANCE) SAS,10.0,+44 0 7769221140,www.lgtcp.com
LGT PRIVATE DEBT (FRANCE) SAS,10.0,+44 0 7769221140,www.lgtcp.com
FINANCIERE DE L'ECHIQUIER,9.5,0147239090,www.lfde.com
SWEN CAPITAL PARTNERS,9.5,0140686021,www.swen-cp.fr
SWEN CAPITAL PARTNERS,9.5,0140686021,www.swen-cp.fr
AEW,8.5,01 78 40 53 00,https://www.aewciloger.com/
AEW,8.5,01 78 40 53 00,https://www.aewciloger.com/
ECOFI INVESTISSEMENTS,8.2,01 44 88 39 24,www.ecofi.fr
ADVENIS  REAL ESTATE INVESTMENT MANAGEMENT,8.0,01 70 16 95 71,www.advenis-reim.com
CATHAY CAPITAL PRIVATE EQUITY,8.0,0142252800,www.cathay.fr
CATHAY CAPITAL PRIVATE EQUITY,8.0,0142252800,www.cathay.fr
SYCOMORE ASSET MANAGEMENT,7.8,0144401612,www.sycomore-am.com
COVEA FINANCE,7.5,0140065150,www.covea-finance.fr
KYOSEIL ASSET MANAGEMENT,7.0,0442522690,www.cpgfinance.com
INOVALIS,7.0,01 56 43 33 23,www.inovalis.com
O2 CAPITAL ASSET MANAGEMENT,7.0,,www.o2am.com
APICIL ASSET MANAGEMENT,7.0,0155312400,www.apicil-asset-management.com
LAMAZERE GESTION PRIVEE,7.0,04.44.44.97.32,www.lamazeregp.fr
INOVALIS,7.0,01 56 43 33 23,www.inovalis.com
O2 CAPITAL ASSET MANAGEMENT,7.0,,www.o2am.com
APICIL ASSET MANAGEMENT,7.0,0155312400,www.apicil-asset-management.com
LAMAZERE GESTION PRIVEE,7.0,04.44.44.97.32,www.lamazeregp.fr
EIFFEL INVESTMENT GROUP,6.8,0139543567,
ERES GESTION,6.7,01.49.70.98.88,www.eres-gestion.com
MANDARINE GESTION,6.0,0153402020,http://www.mandarine-gestion.com
CONQUEST ADVISORS FRANCE,6.0,,www.conquest.group
Ouest Rebond,6.0,,www.breizh-rebond.fr
FundPartner AM,6.0,,www.fundpartner.eu
INTER GESTION REIM,6.0,01 43 12 52 52,www.inter-gestion.com
PEQAN,6.0,,www.peqan.fr
FundPartner AM,6.0,,www.fundpartner.eu
INTER GESTION REIM,6.0,01 43 12 52 52,www.inter-gestion.com
PEQAN,6.0,,www.peqan.fr
PALATINE ASSET MANAGEMENT,5.8,0155279606,www.palatine-am.com
ATLANTE GESTION,5.4,0153459595,www.agestion.fr
ATLANTE GESTION,5.4,0153459595,www.agestion.fr
ETXEA CAPITAL,5.0,,www.etxeacapital.com
MONTPENSIER ARBEVEL,5.0,0145055555,www.montpensier-arbevel.com/
ALTER EQUITY SAS,5.0,01 42 86 96 41,https://www.alter-equity.com/
SOFIDY,5.0,01.69.87.02.00,www.sofidy.com
OVNI CAPITAL,5.0,,https://ovni.vc
PRAEMIA REIM France,5.0,0144217415,https://www.praemiareim.fr/fr/
MONTPENSIER ARBEVEL,5.0,0145055555,www.montpensier-arbevel.com/
ALTER EQUITY SAS,5.0,01 42 86 96 41,https://www.alter-equity.com/
SOFIDY,5.0,01.69.87.02.00,www.sofidy.com
OVNI CAPITAL,5.0,,https://ovni.vc
PRAEMIA REIM France,5.0,0144217415,https://www.praemiareim.fr/fr/
EXTENDAM,4.8,01 80 27 18 53,www.extendam.com
EXTENDAM,4.8,01 80 27 18 53,www.extendam.com
Allianz Immovalor,4.7,0185636535,http://www.immovalor.fr
Allianz Immovalor,4.7,0185636535,http://www.immovalor.fr
ALTAROC PARTNERS SAS,4.4,0181729700,https://www.altaroc.pe/
ELLIPSIS ASSET MANAGEMENT,4.4,01 78 41 55 00,www.ellipsis-am.com
AURIS GESTION,4.3,0142258340,
OFI INVEST REAL ESTATE (SGP),4.2,,https://www.ofi-invest-re.com/sgp/
LATOUR CAPITAL MANAGEMENT SAS,4.0,+33 1 40 62 30 12,http://www.latour-capital.fr/
SOCIETE DE GESTION PREVOIR,4.0,01 53 20 32 90,http://www.sgprevoir.fr/
INVESTED PARTNERS,4.0,,https://www.investedpartners.org/
ARLANE,4.0,,www.arlane.com
CIAM,4.0,01 44 70 97 96,www.ci-am.com
Sienna AM France,4.0,0153769999,https://www.sienna-im.com/fr/services/dette-privee/
OMADA Investment Managers,4.0,,https://omada.fr
IGEA FINANCE,4.0,0144434900,www.igeafinance.com
Société des nouveaux patrimoines,4.0,,www.sdnp.fr
DELUBAC ASSET MANAGEMENT,4.0,0144953787,www.delubac-am.fr
ALOE PRIVATE EQUITY,4.0,0175434208,www.aloe-group.com
SOCIETE DE GESTION PREVOIR,4.0,01 53 20 32 90,http://www.sgprevoir.fr/
INVESTED PARTNERS,4.0,,https://www.investedpartners.org/
ARLANE,4.0,,www.arlane.com
CIAM,4.0,01 44 70 97 96,www.ci-am.com
Sienna AM France,4.0,0153769999,https://www.sienna-im.com/fr/services/dette-privee/
OMADA Investment Managers,4.0,,https://omada.fr
IGEA FINANCE,4.0,0144434900,www.igeafinance.com
Société des nouveaux patrimoines,4.0,,www.sdnp.fr
DELUBAC ASSET MANAGEMENT,4.0,0144953787,www.delubac-am.fr
ALOE PRIVATE EQUITY,4.0,0175434208,www.aloe-group.com
TILT CAPITAL PARTNERS,3.7,,https://www.tilt-capital.com/
AMIRAL GESTION,3.5,0147207818,www.amiralgestion.fr
SYQUANT CAPITAL,3.5,(01) 42 56 56 23,www.syquant-capital.fr
EURYALE,3.3,0148782208,www.euryale-am.fr
EURYALE,3.3,0148782208,www.euryale-am.fr
ALDERAN,3.0,01 42 89 47 95,https://www.alderan.fr
ATLAND VOISIN,3.0,0380599090,www.atland-voisin.com
HOTEL INVESTISSEMENT CAPITAL,3.0,01 72 32 21 03,hi-capital.fr
ALDERAN,3.0,01 42 89 47 95,https://www.alderan.fr
ATLAND VOISIN,3.0,0380599090,www.atland-voisin.com
HOTEL INVESTISSEMENT CAPITAL,3.0,01 72 32 21 03,hi-capital.fr
ANAXIS ASSET MANAGEMENT,2.8,09 73 87 13 21,www.anaxiscapital.com
RGREEN INVEST SAS,2.6,,www.rgreen.fr
1 2 3 INVESTMENT MANAGERS,2.5,0149269800,http://www.123-im.com
LBO FRANCE GESTION,2.5,0140627767,www.lbofrance.com
LBO FRANCE GESTION,2.5,0140627767,www.lbofrance.com
AGRICA EPARGNE,2.2,0171215325,www.agricaepargne.com
AMPLEGEST,2.2,0140670840,www.amplegest.com
AGRICA EPARGNE,2.2,0171215325,www.agricaepargne.com
AMPLEGEST,2.2,0140670840,www.amplegest.com
WEINBERG CAPITAL PARTNERS,2.1,01 53 53 55 10,www.weinbergcapital.com
QUALIUM INVESTISSEMENT,2.1,0181804700,http://www.qualium-investissement.com
WEINBERG CAPITAL PARTNERS,2.1,01 53 53 55 10,www.weinbergcapital.com
QUALIUM INVESTISSEMENT,2.1,0181804700,http://www.qualium-investissement.com
INCO VENTURES,2.0,+033 1 85 73 62 56,www.inco.co.com
MY SHARE COMPANY,2.0,,www.mysharecompany.com
RICHELIEU INVEST,2.0,0142890000,www.richelieuinvest.com
NIXEN PARTNERS,2.0,0175774600,www.nixen.com
ACA - ASSET MANAGEMENT COMPANY & ASSOCIES,2.0,01 76 62 35 39,www.aca-gestion.com
WHITE STAR CAPITAL FRANCE SAS,2.0,+33 (0) 7 7195 2025,www.whitestarcapital.com
MW GESTION,2.0,0142865445,mwgestion.com
NOVAXIA INVESTISSEMENT,2.0,0142290713,www.novaxia-invest.fr
ETERNAM,2.0,0153932323,https://www.eternam.fr/
DAUPHINE AM,2.0,01 47 20 58 07,www.dauphine-am.fr
MONTAGU PRIVATE EQUITY SAS,2.0,0144951180,www.montagu.com
Square Capital (Paris) SAS,2.0,,http://www.squarecapital.co.uk/
AXIPIT REAL ESTATE PARTNERS,2.0,,www.axipit.com
DEALBYDEAL INVEST,2.0,,http://www.dealbydeal.net
LLM & ASSOCIES,2.0,,www.llm-associes.fr
Lita Gestion,2.0,,https://litagestion.com
RAISE,2.0,01 84170909,https://www.raise.co/
WHITE STAR CAPITAL FRANCE SAS,2.0,+33 (0) 7 7195 2025,www.whitestarcapital.com
MW GESTION,2.0,0142865445,mwgestion.com
NOVAXIA INVESTISSEMENT,2.0,0142290713,www.novaxia-invest.fr
ETERNAM,2.0,0153932323,https://www.eternam.fr/
DAUPHINE AM,2.0,01 47 20 58 07,www.dauphine-am.fr
MONTAGU PRIVATE EQUITY SAS,2.0,0144951180,www.montagu.com
Square Capital (Paris) SAS,2.0,,http://www.squarecapital.co.uk/
AXIPIT REAL ESTATE PARTNERS,2.0,,www.axipit.com
DEALBYDEAL INVEST,2.0,,http://www.dealbydeal.net
LLM & ASSOCIES,2.0,,www.llm-associes.fr
Lita Gestion,2.0,,https://litagestion.com
RAISE,2.0,01 84170909,https://www.raise.co/
Althéis,1.7,01 75 85 97 47,https://www.althe.is
REDTREE CAPITAL FRANCE,1.7,01 40 73 86 20,https://www.redtreecapital.com/
Althéis,1.7,01 75 85 97 47,https://www.althe.is
REDTREE CAPITAL FRANCE,1.7,01 40 73 86 20,https://www.redtreecapital.com/
IVO CAPITAL PARTNERS,1.6,,
CEREA PARTNERS,1.5,0183751600,www.cerea.com
SERENA CAPITAL,1.4,0177373030,www.serena.vc
SERENA CAPITAL,1.4,0177373030,www.serena.vc
DEMETER INVESTMENT MANAGERS,1.3,0143125333,https://demeter-im.com
DEMETER INVESTMENT MANAGERS,1.3,0143125333,https://demeter-im.com
TRUSTEAM FINANCE,1.2,0142964030,www.trusteam.fr
TRUFFLE CAPITAL S.A.S,1.2,01 47 20 12 02,www.truffle.com
TRUFFLE CAPITAL S.A.S,1.2,01 47 20 12 02,www.truffle.com
