name,email,phone,website,address,city,postal_code,country,country_code,category,type,register_number,aum,aum_date,tier,notes,pipeline_stage
"SANTANDER ASSET MANAGEMENT, S.A., SGIIC",,,https://www.santanderassetmanagement.com,"Paseo de la Castellana, 24",MADRID,28046,Espagne,ES,SGIIC,fournisseur,12,185.0,2024-12-31,Tier 1,Tier 1. AUM: 185.0 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 12,prospect
"CAIXABANK ASSET MANAGEMENT SGIIC, S.A.",,,https://www.caixabankaム.es,"PASEO CASTELLANA, 189",MADRID,28046,Espagne,ES,SGIIC,fournisseur,15,85.0,2024-12-31,Tier 1,Tier 1. AUM: 85.0 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 15,prospect
"ABANCA GESTION DE ACTIVOS, SGIIC, SA",,,https://www.abanca.com,"C/ SERRANO 45, 3ª PLANTA",MADRID,28001,Espagne,ES,SGIIC,fournisseur,128,28.5,2024-12-31,Tier 1,Tier 1. AUM: 28.5 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 128,prospect
"KUTXABANK GESTION, SGIIC, S.A.",,,https://www.kutxabankgestion.com,"PLAZA DE EUSKADI, NUMERO 5, PLANTA 27",BILBAO,48009,Espagne,ES,SGIIC,fournisseur,95,25.2,2024-12-31,Tier 1,Tier 1. AUM: 25.2 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 95,prospect
"MAPFRE ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.mapfream.com,CARRETERA POZUELO Nº 50-1 PLANTA 2. MODULO NORTE,MAJADAHONDA,28222,Espagne,ES,SGIIC,fournisseur,121,15.7,2024-12-31,Tier 1,Tier 1. AUM: 15.7 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 121,prospect
"IBERCAJA GESTION, SGIIC, S.A.",,,https://www.ibercajagestion.es,"Pº DE LA CONSTITUCION, 4",ZARAGOZA,50008,Espagne,ES,SGIIC,fournisseur,84,12.3,2024-12-31,Tier 1,Tier 1. AUM: 12.3 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 84,prospect
"ABANTE ASESORES GESTION, SGIIC, S.A.",,,https://www.abanteasesores.com,"PLAZA DE LA INDEPENDENCIA, 6",MADRID,28001,Espagne,ES,SGIIC,fournisseur,194,5.4,2024-12-31,Tier 1,Tier 1. AUM: 5.4 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 194,prospect
"FONDITEL GESTION, SGIIC, SA",,,https://www.fonditel.es,"Ronda de la Comunicación s/n, Distrito Telefónica",MADRID,28050,Espagne,ES,SGIIC,fournisseur,200,4.9,2024-12-31,Tier 1,Tier 1. AUM: 4.9 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 200,prospect
"GVC GAESCO GESTIÓN, SGIIC, S.A.",,,https://www.gvcgaesco.es,"C./ DOCTOR FERRAN, Nº 3-5, 1ª",TARRAGONA,43001,Espagne,ES,SGIIC,fournisseur,29,3.2,2024-12-31,Tier 1,Tier 1. AUM: 3.2 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 29,prospect
"AZVALOR ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.azvalor.com,"PASEO DE LA CASTELLANA, 110 3º",MADRID,28046,Espagne,ES,SGIIC,fournisseur,224,2.8,2024-12-31,Tier 1,Tier 1. AUM: 2.8 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 224,prospect
"MAGALLANES VALUE INVESTORS, S.A., SGIIC",,,https://www.magallanesvalue.com,"C/ LAGASCA, 88",MADRID,28001,Espagne,ES,SGIIC,fournisseur,239,1.5,2024-12-31,Tier 1,Tier 1. AUM: 1.5 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 239,prospect
