name,email,phone,website,address,city,postal_code,country,country_code,category,type,register_number,aum,aum_date,tier,notes,pipeline_stage
"CAIXABANK ASSET MANAGEMENT SGIIC, S.A.",info@caixabankaম.es,+34 93 404 60 00,https://www.caixabankaم.es,"PASEO CASTELLANA, 189",MADRID,28046,Espagne,ES,SGIIC,fournisseur,15,94.752,2024-12-31,Tier 1,Tier 1. AUM: 94.8 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 15,prospect
"SANTANDER ASSET MANAGEMENT, S.A., SGIIC",info@santanderassetmanagement.com,+34 91 257 00 00,https://www.santanderassetmanagement.com,"Paseo de la Castellana, 24",MADRID,28046,Espagne,ES,SGIIC,fournisseur,12,61.1,2024-12-31,Tier 1,Tier 1. AUM: 61.1 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 12,prospect
"BBVA ASSET MANAGEMENT, S.A., SGIIC",bbvaاm@bbva.com,+34 91 374 36 00,https://www.bbvaassetmanagement.com,"Calle Azul, 4",MADRID,28050,Espagne,ES,SGIIC,fournisseur,14,54.2,2024-12-31,Tier 1,Tier 1. AUM: 54.2 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 14,prospect
"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.",gestionactivos@bankinter.com,+34 91 339 76 00,https://www.bankintergestiondeactivos.es,AVDA. DE BRUSELAS 12,ALCOBENDAS,28108,Espagne,ES,SGIIC,fournisseur,55,28.5,2024-12-31,Tier 1,Tier 1. AUM: 28.5 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 55,prospect
"IBERCAJA GESTION, SGIIC, S.A.",ibercajagestion@ibercaja.es,+34 976 767 000,https://www.ibercajagestion.es,"Pº DE LA CONSTITUCION, 4",ZARAGOZA,50008,Espagne,ES,SGIIC,fournisseur,84,25.0,2024-12-31,Tier 1,Tier 1. AUM: 25.0 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 84,prospect
"KUTXABANK GESTION, SGIIC, S.A.",info@kutxabankgestion.com,+34 944 07 45 00,https://www.kutxabankgestion.com,"PLAZA DE EUSKADI, NUMERO 5, PLANTA 27",BILBAO,48009,Espagne,ES,SGIIC,fournisseur,95,23.5,2024-12-31,Tier 1,Tier 1. AUM: 23.5 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 95,prospect
"MUTUACTIVOS, S.A., S.G.I.I.C.",info@mutuactivos.com,+34 91 398 58 00,https://www.mutuactivos.com,PASEO CASTELLANA 33,MADRID,28046,Espagne,ES,SGIIC,fournisseur,21,20.8,2024-12-31,Tier 1,Tier 1. AUM: 20.8 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 21,prospect
"MAPFRE ASSET MANAGEMENT, SGIIC, S.A.",clientes@mapfre.com,+34 91 581 80 00,https://www.mapfream.com,CARRETERA POZUELO Nº 50-1 PLANTA 2. MODULO NORTE,MAJADAHONDA,28222,Espagne,ES,SGIIC,fournisseur,121,15.7,2024-12-31,Tier 1,Tier 1. AUM: 15.7 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 121,prospect
"ABANTE ASESORES GESTION, SGIIC, S.A.",info@abanteasesores.com,+34 91 418 29 60,https://www.abanteasesores.com,"PLAZA DE LA INDEPENDENCIA, 6",MADRID,28001,Espagne,ES,SGIIC,fournisseur,194,5.4,2024-12-31,Tier 1,Tier 1. AUM: 5.4 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 194,prospect
"FONDITEL GESTION, SGIIC, SA",fonditel@fonditel.es,+34 91 270 22 00,https://www.fonditel.es,"Ronda de la Comunicación s/n, Distrito Telefónica",MADRID,28050,Espagne,ES,SGIIC,fournisseur,200,4.9,2024-12-31,Tier 1,Tier 1. AUM: 4.9 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 200,prospect
