nom,prenom,email,phone,titre,organisation_nom,source,linkedin_url,notes
,,,,Director Comercial,SANTANDER ASSET MANAGEMENT SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Head of Sales,CAIXABANK ASSET MANAGEMENT SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director de Ventas,BBVA ASSET MANAGEMENT SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director Comercial,BANKINTER GESTION DE ACTIVOS SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Head of Distribution,KUTXABANK GESTION SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director de Distribución,MUTUACTIVOS SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director Comercial,SABADELL ASSET MANAGEMENT SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Head of Sales,MAPFRE ASSET MANAGEMENT SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director Comercial,IBERCAJA GESTION SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director de Ventas,ALLIANZ POPULAR ASSET MANAGEMENT SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director Comercial,BESTINVER GESTION SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Head of Sales,UNICORP PATRIMONIO SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director Comercial,RENTA 4 GESTORA SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director de Ventas,ABANTE ASESORES GESTION SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director Comercial,FONDITEL GESTION SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Head of Distribution,GVC GAESCO GESTION SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director Comercial,AZVALOR ASSET MANAGEMENT SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director de Ventas,COBAS ASSET MANAGEMENT SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Director Comercial,TREA ASSET MANAGEMENT SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
,,,,Head of Sales,MAGALLANES VALUE INVESTORS SGIIC,CNMV,,"À compléter via LinkedIn Sales Navigator ou site web"
