name,email,phone,website,address,city,country
"CAIXABANK ASSET MANAGEMENT SGIIC, S.A.",servicio.cliente@caixabank.com,,https://www.caixabankaম.es,"PASEO CASTELLANA, 189 - 28046 MADRID, 28046, MADRID",MADRID,ES
"SANTANDER ASSET MANAGEMENT, S.A., SGIIC",ayuda.portal.es@santanderam.com,,https://www.santanderassetmanagement.com,"Paseo de la Castellana, 24 - 28046 Madrid, 28046, MADRID",MADRID,ES
"BBVA ASSET MANAGEMENT, S.A., SGIIC",info.opa@bbva.com,+34 800 080 032,https://www.bbvaassetmanagement.com,"Calle Azul, 4 - 28050 MADRID, 28050, MADRID",MADRID,ES
"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.",,,https://www.bankintergestiondeactivos.es,"AVDA. DE BRUSELAS 12 - 28108 ALCOBENDAS, 28108, ALCOBENDAS",ALCOBENDAS,ES
"IBERCAJA GESTION, SGIIC, S.A.",atencioncliente@ibercaja.es,,https://www.ibercajagestion.es,"Pº DE LA CONSTITUCION, 4 - 50008 ZARAGOZA, 50008, ZARAGOZA",ZARAGOZA,ES
"KUTXABANK GESTION, SGIIC, S.A.",atencion.cliente@grupokutxabank.com,,https://www.kutxabankgestion.com,"PLAZA DE EUSKADI, NUMERO 5, PLANTA 27 - 48009 BILBAO, 48009, BILBAO",BILBAO,ES
"MUTUACTIVOS, S.A., S.G.I.I.C.",info@mutuactivos.com,,https://www.mutuactivos.com,"PASEO CASTELLANA 33 - 28046 MADRID, 28046, MADRID",MADRID,ES
"MAPFRE ASSET MANAGEMENT, SGIIC, S.A.",DPO.MAPFRE_ESPANA.es@mapfre.com,,https://www.mapfream.com,"CARRETERA POZUELO Nº 50-1 PLANTA 2. MODULO NORTE - 28222 MAJADAHONDA, 28222, MAJADAHONDA",MAJADAHONDA,ES
"ABANTE ASESORES GESTION, SGIIC, S.A.",comunicacion@abanteasesores.com,,https://www.abanteasesores.com,"PLAZA DE LA INDEPENDENCIA, 6 - 28001 MADRID, 28001, MADRID",MADRID,ES
"FONDITEL GESTION, SGIIC, SA",contacto@fonditel.es,,https://www.fonditel.es,"Ronda de la Comunicación s/n, Distrito Telefónica - 28050 Madrid, 28050, MADRID",MADRID,ES
"ABANCA GESTION DE ACTIVOS, SGIIC, SA",contacto@imantia.com,+34 981 910 522,https://www.abanca.com,"C/ SERRANO 45, 3ª PLANTA - 28001 MADRID, 28001, MADRID",MADRID,ES
"GVC GAESCO GESTIÓN, SGIIC, S.A.",atencioncliente@gvcgaesco.es,,https://www.gvcgaesco.es,"C./ DOCTOR FERRAN, Nº 3-5, 1ª - 43001 TARRAGONA, 43001, TARRAGONA",TARRAGONA,ES
"AZVALOR ASSET MANAGEMENT, SGIIC, S.A.",info@azvalor.com,+34 917 374 440,https://www.azvalor.com,"PASEO DE LA CASTELLANA, 110 3º - 28046 MADRID, 28046, MADRID",MADRID,ES
"AMUNDI IBERIA, SGIIC, S.A.",caispain@indosuez.es,,https://www.amundi.es,"Pº DE LA CASTELLANA, 1 - 28046 MADRID, 28046, MADRID",MADRID,ES
"COBAS ASSET MANAGEMENT, SGIIC, S.A.",info@cobasam.com,,https://www.cobasam.com,"Paseo de la Castellana, 53 2ª planta - 28046 Madrid, 28046, MADRID",MADRID,ES
"MAGALLANES VALUE INVESTORS, S.A., SGIIC",lopd@magallanesvalue.com,,https://www.magallanesvalue.com,"C/ LAGASCA, 88 - 28001 MADRID, 28001, MADRID",MADRID,ES
"MEDIOLANUM GESTION, S.G.I.I.C., S.A.",info@mediolanum.es,+34 934 453 250,https://www.mediolanum.es,"C/ AGUSTINA SARAGOSSA, 3-5 BAJOS - 08017 BARCELONA, 08017, BARCELONA",BARCELONA,ES
"ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.",medivalor@comb.es,,https://www.andbank.es,"CALLE SERRANO, 37 - 28001 MADRID, 28001, MADRID",MADRID,ES
"INVERSIS GESTIÓN, S.A., SGIIC",contactenos@inversis.com,,https://www.inversis.com,"AVENIDA DE LA HISPANIDAD, 6 - 28042 MADRID, 28042, MADRID",MADRID,ES
"GESIURIS ASSET MANAGEMENT, SGIIC, S.A.",gesiuris@gesiuris.com,,https://www.gesiuris.com,"Rambla de Cataluña 38, 9ª Planta - 08007 Barcelona, 08007, BARCELONA",BARCELONA,ES
"HOROS ASSET MANAGEMENT, SGIIC, S.A.",info@horosam.com,,https://www.horosam.com,"CALLE NUÑEZ DE BALBOA 120, 2º IZQUIERDA - 28006 MADRID, 28006, MADRID",MADRID,ES
"A&G FONDOS, SGIIC, SA",atencion.cliente@ayg.es,,https://www.ayg.es,"PASEO DE LA CASTELLANA, 92 - 28046 MADRID, 28046, MADRID",MADRID,ES
"ABACO CAPITAL, SGIIC, S.A.",gerencia@abacozaragoza.com,+34 915639099,https://abacozaragoza.com,"Paseo General Martínez Campos 47 - 28010 Madrid, 28010, MADRID",MADRID,ES
"ACACIA INVERSION, SGIIC, S.A.",web@acacia-inversion.com,+34 944 356 740,https://acacia-inversion.com,"GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS - 48009 BILBAO, 48009, BILBAO",BILBAO,ES
"ACCI CAPITAL INVESTMENTS, SGIIC, S.A.",info@accipartners.com,,https://www.accipartners.com,"MARQUES DE VILLAMEJOR, 5, PLANTA 1 - 28006 MADRID, 28006, MADRID",MADRID,ES
"ACTYUS PRIVATE EQUITY SGIIC, S.A.",info@actyus.com,,https://www.actyus.com,"CALLE SERRANO, 37 - 28001 MADRID, 28001, MADRID",MADRID,ES
"AFI INVERSIONES GLOBALES, SGIIC, S.A.",info@afi.es,+34 915 200 100,https://www.bolsasocial.fund,"C/ MARQUES DE VILLAMEJOR 5 - 28006 MADRID, 28006, MADRID",MADRID,ES
"ALALUZ CAPITAL, SGIIC, S.A.",contacto@alaluzcapital.com,+34 917 520 918,https://alaluzcapital.com,"VILLANUEVA, 15 1ª PLANTA - 28001 MADRID, 28001, MADRID",MADRID,ES
"ALANTRA EQMC ASSET MANAGEMENT, SGIIC, S.A.",,+34 91 745848,https://www.alantra.com,"CALLE JOSE ORTEGA Y GASSET 29 - 28006 MADRID, 28006, MADRID",MADRID,ES
"ALANTRA MULTI ASSET, SGIIC, S.A.",,+34 91 745848,https://www.alantra.com,"CALLE JOSE ORTEGA Y GASSET 29 - 28006 MADRID, 28006, MADRID",MADRID,ES
"ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.",n@altamarcapital.com,,https://www.altamarcam.com,"Pº CASTELLANA, 91 - 28046 MADRID, 28046, MADRID",MADRID,ES
"ALTAN CAPITAL, SGIIC, S.A.",info@altancapital.com,,https://www.altancapital.com,"Paseo de la Castellana, 91 - 28046 MADRID, 28046, MADRID",MADRID,ES
